,eic_p,name_p,type_g,country,lat,lon,co2emitted,generation,cf,time_coverage
0,11W0-0000-0043-Z,Datteln,Fossil Hard Coal,Germany,51.629,7.332,994.629,1.0,0.0,0.27849999999999997
1,11WD2BHAF000272F,KW Hafen,Fossil Hard Coal,Germany,53.202,8.516,5434040000.0,6087777.0,0.387,0.9958333333333332
2,11WD2BHAS000271O,KW Hastedt,Fossil Hard Coal,Germany,53.059,8.873,3016463000.0,2946104.0,0.472,0.9958333333333332
3,11WD2BMIT0002731,KW Mittelsbueren,Fossil Gas,Germany,53.129,8.686,2137959000.0,3817784.0,0.6205,0.99725
4,11WD2BUKW000310A,Burghausen_GT,Fossil Gas,Germany,48.182,12.85,1181903000.0,1993289.0,0.47625,0.99725
5,11WD2BUSC0002637,Kraftwerk Buschhaus,Lignite,Germany,52.16,10.967,4144910000.0,3837876.0,0.32925,0.94025
6,11WD2FARK000287K,Kraftwerk Farge,Fossil Hard Coal,Germany,53.203,8.518,6133770000.0,5638299.0,0.46675,0.985
7,11WD2GEBE000177K,Franken I,Fossil Gas,Germany,49.421,11.008,589545200.0,1290642.0,0.044125000000000004,0.99725
8,11WD2GKBB000334V,GKB Mittelsbueren,Fossil Gas,Germany,53.129,8.686,1155613000.0,2866103.0,0.24233333333333337,0.6886666666666666
9,11WD2HANN5C----0,GKW Hannover (GKH),Fossil Hard Coal,Germany,52.42,9.648,6545164000.0,6204480.0,0.653,0.99625
10,11WD2HEKW000297X,Heyden,Fossil Hard Coal,Germany,52.383,8.996,9457620000.0,10595394.0,0.3465,0.99725
11,11WD2HERR5GKW--1,KW Herrenhausen (KWH),Fossil Gas,Germany,52.399,9.681,21897270.0,24982.0,0.007,0.99525
12,11WD2HUKW000298J,Huntorf,Fossil Gas,Germany,53.19,8.409,25272969.0,46384.0,0.004,0.99725
13,11WD2INGO0001783,Ingolstadt,Fossil Oil,Germany,48.762,11.504,620169750.0,487355.0,0.018125000000000002,0.99725
14,11WD2IRSC000179N,Irsching,Fossil Gas,Germany,48.767,11.582,354348140.0,929890.0,0.012000000000000002,0.9972500000000001
15,11WD2KIKW000301W,Kiel,Fossil Hard Coal,Germany,54.339,10.177,4955340000.0,4697407.0,0.416,0.9964999999999999
16,11WD2LIND5G----6,Heizkraftwerk Linden (GKL),Fossil Gas,Germany,52.42,9.648,56323700.0,134104.0,0.405,0.164
17,11WD2MEHR2CSWH-O,KW Mehrum (KWM),Fossil Hard Coal,Germany,52.316,10.093,8109980000.0,9085632.0,0.37675000000000003,0.99725
18,11WD2NO2K000308Z,Nord 2,Fossil Hard Coal,Germany,48.189,11.596,4719794000.0,4474116.0,0.49775,0.80225
19,11WD2STAU0001800,Staudinger,Fossil Gas,Germany,50.091,8.954,5241899700.0,9360548.0,0.26075000000000004,0.99725
20,11WD2SUE1000099L,Sued GuD1,Fossil Gas,Germany,48.114,11.556,357785340.0,646718.0,0.093625,0.801875
21,11WD2SUE2000103B,Sued GuD2,Fossil Gas,Germany,48.114,11.556,2740781400.0,4760798.0,0.4179166666666667,0.7906666666666666
22,11WD2VELT000176H,Veltheim,Fossil Hard Coal,Germany,52.19,8.934,300485000.0,276213.0,0.442,0.236
23,11WD2WBWK000317H,HKW West,Fossil Hard Coal,Germany,52.429,10.768,7726300000.0,5992487.0,0.663625,0.9265
24,11WD2WI1K000303F,Wilhelmshaven,Fossil Hard Coal,Germany,53.565,8.147,8613040000.0,9401806.0,0.35575,0.99725
25,11WD2WILK000286V,Kraftwerk Wilhelmshaven,Fossil Hard Coal,Germany,53.566,8.146,6107562000.0,7017757.0,0.38825,0.78775
26,11WD2ZOLL0002880,Kraftwerk Zolling,Fossil Hard Coal,Germany,48.456,11.801,6026690000.0,7097968.0,0.43125,0.9937499999999999
27,11WD4AL1KU1-S--E,HKW Altbach/Deizisau,Fossil Hard Coal,Germany,48.718,9.373,5256170000.0,5326229.0,0.24514285714285713,0.7815714285714286
28,11WD4DAXLA-2S--6,Rheinhafen-Dampfkraftwerk Karlsruhe,Fossil Gas,Germany,49.015,8.304,69875316.0,183700.0,0.023000000000000003,0.7496666666666667
29,11WD4DAXLA-S---T,Rheinhafen-Dampfkraftwerk Karlsruhe,Fossil Hard Coal,Germany,49.015,8.304,14495160000.0,17455754.0,0.373,0.99725
30,11WD4GKM-2CD4--J,GKM AG TNG,Fossil Hard Coal,Germany,49.446,8.49,14100880000.0,14177032.0,0.4445,0.88075
31,11WD4GKM-2CD7--7,GKM AG Amprion,Fossil Hard Coal,Germany,49.446,8.49,9400610000.0,9451371.0,0.4445,0.88075
32,11WD4GKM-XCD0--3,GKM AG DBEnergie,Fossil Hard Coal,Germany,49.445,8.5,3628955000.0,3335818.0,0.44425,0.88075
33,11WD4HLBR1CS---A,HKW Heilbronn,Fossil Hard Coal,Germany,49.178,9.209,9947200000.0,10858135.0,0.39975,0.99725
34,11WD4HLBR5CS---J,HKW Heilbronn,Fossil Hard Coal,Germany,49.178,9.209,230502000.0,192019.0,0.33699999999999997,0.26
36,11WD4WALK5G----E,Kraftwerk Walheim,Fossil Oil,Germany,49.021,9.158,83237400.0,96695.0,0.02025,0.99725
39,11WD7BERG1S--KWB,Bergkamen,Fossil Hard Coal,Germany,51.622,7.628,9348940000.0,9399428.0,0.38625,0.974
40,11WD7BISC5GKW23O,KW Mainz-Wiesbaden,Fossil Gas,Germany,50.029,8.237,1974928460.0,5272812.0,0.193625,0.855375
41,11WD7BOLA--KWNIK,HKW Niehl,Fossil Gas,Germany,50.974,6.991,3903243900.0,10343706.0,0.44408333333333333,0.7446666666666667
42,11WD7BOLL5B-FREO,Frechen/Wachtberg,Lignite,Germany,50.894,6.791,1190963000.0,804705.0,0.5329999999999999,0.743
43,11WD7BRAU5G-KW-N,GuD Dormagen,Fossil Gas,Germany,51.08,6.828,2745882000.0,5175763.0,0.25325,0.99725
44,11WD7EMSL-G-KW-T,Emsland,Fossil Gas,Germany,52.481,7.306,4885911400.0,12844898.0,0.1635,0.9972500000000001
45,11WD7ENSD2SKW1-4,Kraftwerk Ensdorf,Fossil Hard Coal,Germany,49.293,6.771,346109100.0,278383.0,0.0755,0.997
46,11WD7ENSD5SKW3-E,Ensdorf,Fossil Hard Coal,Germany,49.293,6.771,3244420000.0,3075546.0,0.31125,0.997
47,11WD7FRIM2B-KW-M,Frimmersdorf,Lignite,Germany,51.055,6.576,12371990000.0,9288285.0,0.6703333333333333,0.9113333333333333
48,11WD7FUEH5GMEKW7,HKW Merkenich,Fossil Gas,Germany,51.017,6.963,284562000.0,691644.0,0.188,0.9535
49,11WD7GARE5XELKWD,Elverlingsen,Fossil Hard Coal,Germany,51.277,7.705,1320714000.0,1251969.0,0.151,0.77
50,11WD7GARE5XHAKW5,Hagen-Kabel,Fossil Gas,Germany,51.412,7.492,75478160.0,179710.0,0.0235,0.7715
51,11WD7GARE5XHEKWQ,HERDECKE,Fossil Gas,Germany,51.404,7.415,551641600.0,1477612.0,0.10275000000000001,0.9405
52,11WD7GERS-X-KW-C,Gersteinwerk,Fossil Gas,Germany,51.675,7.717,3959086786.4,9763642.0,0.09624999999999999,0.99725
53,11WD7GKWE2S--KW8,GK-West,Fossil Hard Coal,Germany,51.603,6.658,2839474000.0,2691676.0,0.1985,0.7503333333333333
54,11WD7HERN2S--KWU,Herne,Fossil Hard Coal,Germany,51.551,7.187,7742088000.0,7306449.0,0.30914285714285716,0.8774285714285714
56,11WD7IBBE2S--KW6,Ibbenbüren,Fossil Hard Coal,Germany,52.285,7.739,13043260000.0,13488373.0,0.48775,0.99725
57,11WD7KWHU----KW9,KW Lünen,Fossil Hard Coal,Germany,51.659,7.838,12371290000.0,14214963.0,0.5445,0.99725
58,11WD7KWKN----KW1,Knapsack 1,Fossil Gas,Germany,50.859,6.841,958256000.0,2566760.0,0.09325,0.998
59,11WD7KWKN1GBL203,Knapsack 2,Fossil Gas,Germany,50.859,6.841,1247219000.0,3340769.0,0.22375,0.998
60,11WD7LIES5B-KW-D,Goldenberg,Lignite,Germany,50.861,6.843,509259000.0,407815.0,0.636,0.485
61,11WD7LUDW2GA800M,GuD Ludwigshafen Mitte,Fossil Gas,Germany,49.453,8.433,6443221000.0,11650160.0,0.8089999999999999,0.997
62,11WD7LUDW5GSUEDE,GuD Ludwigshafen Süd,Fossil Gas,Germany,49.453,8.433,4293491000.0,8870658.0,0.7365,0.997
63,11WD7LUNE2S--KW8,Luenen,Fossil Hard Coal,Germany,51.616,7.478,2415058290.0,1961349.0,0.16325,0.971875
64,11WD7MITB1C----N,Bexbach,Fossil Hard Coal,Germany,49.364,7.237,4819993800.0,4846024.0,0.2025,0.944
65,11WD7MITB1S--KWK,Bexbach,Fossil Hard Coal,Germany,49.365,7.235,4819993800.0,4846024.0,0.2025,0.944
66,11WD7NEUR-B-KW-B,Neurath,Lignite,Germany,51.038,6.616,126133560000.0,113967685.0,0.7824285714285715,0.9972500000000001
